TF Target Weight
GSX1 CPEB1 1
GSX1 CTCF 2
GSX1 E2F1 2
GSX1 E2F2 2
GSX1 E2F3 2
GSX1 E2F7 1
GSX1 E2F8 2
GSX1 ETV1 1
GSX1 HES5 1
GSX1 HIC2 2
GSX1 HLF 1
GSX1 HSF2 1
GSX1 HOXD3 1
GSX1 HOXD9 1
GSX1 MEIS3 1
GSX1 MLXIPL 1
GSX1 MYBL1 2
GSX1 MYBL2 2
GSX1 NFAT5 1
GSX1 NR2E1 1
GSX1 OLIG1 1
GSX1 OLIG2 1
GSX1 ONECUT2 1
GSX1 SOX4 1
GSX1 SOX8 2
GSX1 SOX11 2
GSX1 TCF3 2
GSX1 VAX2 1
GSX1 HDX 2
GSX1 NKX2-2 1
GSX1 YAP1 1
GSX1 PLAGL1 1
GSX1 SOX12 2
GSX1 CEBPA 1
GSX1 NFE2L1 1
GSX1 MYCN 1
GSX1 INSM1 2
GSX1 FOXP1 1
GSX1 STAT5A 1
GSX1 STAT6 1
GSX1 TCF12 2
GSX1 BRCA1 2
GSX1 CDC5L 1
GSX1 ETS2 1
GSX1 FOXM1 2
GSX1 MAZ 2
GSX1 ZBTB4 1
GSX1 ZFHX3 1
E2F7 CTCF 2
E2F7 E2F1 2
E2F7 E2F2 2
E2F7 E2F3 2
E2F7 E2F8 2
E2F7 HIC2 2
E2F7 MYBL1 2
E2F7 MYBL2 2
E2F7 NEUROD2 3
E2F7 NR3C2 3
E2F7 SOX8 2
E2F7 SP3 3
E2F7 SOX11 2
E2F7 TCF3 2
E2F7 TP53 3
E2F7 USF1 3
E2F7 HDX 2
E2F7 SOX12 2
E2F7 INSM1 2
E2F7 MEF2C 3
E2F7 TCF12 2
E2F7 BPTF 3
E2F7 BRCA1 2
E2F7 FOXM1 2
E2F7 MAZ 2
E2F7 PPARA 3
