TF Target Weight
IRF7 CEBPB 2
IRF7 CEBPD 1
IRF7 CTCF 1
IRF7 ELF4 1
IRF7 IRF3 2
IRF7 IRF5 2
IRF7 IRF9 1
IRF7 KLF13 1
IRF7 KLF16 1
IRF7 KLF12 1
IRF7 MAX 1
IRF7 MNT 1
IRF7 POU3F3 1
IRF7 SCRT2 1
IRF7 SPI1 2
IRF7 TFEC 2
IRF7 ZNF410 1
IRF7 ZNF524 2
IRF7 SP100 2
IRF7 CEBPA 2
IRF7 IRF1 1
IRF7 IRF2 1
IRF7 RREB1 2
IRF7 NR1H2 2
IRF7 STAT1 1
IRF7 BATF 2
IRF7 MYOD1 1
IRF7 STAT2 1
IRF7 STAT5A 2
IRF7 BPTF 1
IRF7 ETV7 1
IRF7 IKZF1 2
IRF7 RELB 1
IRF7 ZFHX3 1
PLAG1 CEBPB 2
PLAG1 ERF 3
PLAG1 ESRRG 3
PLAG1 ETV6 3
PLAG1 FLI1 3
PLAG1 FOXJ3 3
PLAG1 GLIS3 3
PLAG1 IRF3 2
PLAG1 IRF5 2
PLAG1 IRF8 3
PLAG1 MLXIPL 3
PLAG1 MTF1 3
PLAG1 NFATC1 3
PLAG1 NFIA 3
PLAG1 NKX6-2 3
PLAG1 NR2E1 3
PLAG1 SCRT1 3
PLAG1 SOX10 3
PLAG1 SPI1 2
PLAG1 TFEC 2
PLAG1 ZNF524 2
PLAG1 HOXD1 3
PLAG1 SP100 2
PLAG1 CEBPA 2
PLAG1 RREB1 2
PLAG1 NR1H2 2
PLAG1 BATF 2
PLAG1 MAF 3
PLAG1 STAT5A 2
PLAG1 USF2 3
PLAG1 MITF 3
PLAG1 TCFL5 3
PLAG1 IKZF1 2
