Gene_PSPI_X Gene_NIPS_X Gene_Y No_Edges_PSPI_X No_Edges_NIPS_X No_Edges_Y No_Matched_Edges_PSPI No_Matched_Edges_NIPS No_Orig_Matched_Edges_PSPI No_Orig_Matched_Edges_NIPS Union_PSPI_Y Union_NIPS_Y
TCF3 GLIS3 TCF3 127 7 93 51 0 51 2 169 100
ARNT2 STAT5A ELF4 135 75 102 42 27 31 24 195 150
SPI1 JUNB SCRT1 110 45 106 38 19 42 14 178 132
MYBL2 TBR1 HLF 121 56 93 37 25 28 25 177 124
HLF ARID5A TBR1 95 57 91 37 16 41 25 149 132
CEBPB ESRRG SPI1 122 11 91 36 5 28 6 177 97
VENTX TP53 EMX1 111 19 104 33 10 7 5 182 113
E2F2 OSR2 MAZ 93 5 52 33 0 27 2 112 57
BPTF TFEC RUNX1 114 70 92 32 30 29 31 174 132
RELB HIF1A NFATC1 94 31 86 30 11 16 0 150 106
BATF HOXA10 TFEC 99 32 81 30 8 32 7 150 105
RUNX2 MBD2 TEF 96 0 90 29 0 22 0 157 90
MAFB POU2F2 TEAD4 92 39 57 28 13 0 18 121 83
TFEC TGIF1 BATF 70 13 61 27 7 31 7 104 67
NEUROD2 RFX3 FOXJ3 95 5 87 26 1 32 0 156 91
MLX HOXB7 SREBF2 83 10 71 26 1 4 3 128 80
CEBPD TFAP2B IRF3 94 0 84 25 0 6 0 153 84
RUNX1 FOXJ1 TGIF1 83 12 96 25 1 32 0 154 107
KLF13 JDP2 MBD2 77 0 76 24 0 6 0 129 76
IRF5 EN2 FLI1 73 39 46 23 4 26 8 96 81
SOX4 TCF3 BPTF 105 127 45 22 24 22 51 128 148
FOXM1 RREB1 NFIA 91 30 93 21 12 21 5 163 111
SOX11 STAT4 SP100 102 48 84 20 21 24 16 166 111
HES5 MEF2C STAT5A 82 27 74 20 11 0 12 136 90
SOX12 TCFL5 ESRRG 78 8 97 19 3 26 0 156 102
KLF12 SP100 NEUROD2 107 56 79 19 12 13 30 167 123
TEF E2F2 TCF12 85 93 40 19 20 34 27 106 113
GSX1 ATF2 E2F7 48 7 26 18 0 0 3 56 33
YAP1 ZNF282 MTF1 68 47 79 18 8 14 13 129 118
VDR CEBPG NFKB2 77 0 60 18 0 0 0 119 60
STAT5A SOX2 SOX12 75 82 46 18 23 24 29 103 105
