"Source" "Target" "Type"
"AR" "SOX21" 1
"AR" "REST" 0
"AR" "NOTCH2" 0
"AR" "PARD3B" 1
"ATF7" "C1orf54" 1
"CEBPB" "CEBPD" 0
"CEBPB" "ELF4" 1
"CEBPB" "MAFB" 1
"CEBPB" "ZBTB7B" 1
"CEBPB" "IRF1" 1
"CEBPB" "JUNB" 1
"CEBPB" "ADAM8" 1
"CEBPB" "ADNP" 1
"CEBPB" "AGTRAP" 1
"CEBPB" "AK2" 1
"CEBPB" "ALDH3B1" 1
"CEBPB" "ALOX15B" 1
"CEBPB" "ANG" 1
"CEBPB" "ANXA2" 1
"CEBPB" "ARHGDIB" 1
"CEBPB" "ARL11" 1
"CEBPB" "ATP2B2" 1
"CEBPB" "ATP6V0E1" 1
"CEBPB" "BCAN" 1
"CEBPB" "BCL3" 1
"CEBPB" "BCL7A" 1
"CEBPB" "BLVRB" 1
"CEBPB" "BRI3" 1
"CEBPB" "BTG1" 1
"CEBPB" "C1QB" 1
"CEBPB" "C1S" 1
"CEBPB" "C1orf85" 1
"CEBPB" "C5AR1" 0
"CEBPB" "C5orf32" 1
"CEBPB" "CAMSAP1L1" 1
"CEBPB" "CAPG" 1
"CEBPB" "CASP4" 1
"CEBPB" "CCL2" 1
"CEBPB" "CD14" 1
"CEBPB" "CD300A" 1
"CEBPB" "CD4" 1
"CEBPB" "CD59" 1
"CEBPB" "CD7" 1
"CEBPB" "CDCA7" 1
"CEBPB" "CFB" 1
"CEBPB" "CIDEB" 1
"CEBPB" "CLASP2" 1
"CEBPB" "CLCF1" 1
"CEBPB" "CLDN23" 1
"CEBPB" "CLEC2B" 1
"CEBPB" "CNN2" 1
"CEBPB" "CNTN1" 1
"CEBPB" "CORO1A" 1
"CEBPB" "CP" 1
"CEBPB" "CSDA" 1
"CEBPB" "CSPG5" 1
"CEBPB" "CSTA" 1
"CEBPB" "CTSL1" 1
"CEBPB" "CXCL16" 1
"CEBPB" "CXCL3" 1
"CEBPB" "CYBA" 1
"CEBPB" "DNAJB1" 1
"CEBPB" "DUSP1" 1
"CEBPB" "FAH" 1
"CEBPB" "FAS" 1
